[2023-08-28 16:16:43] [ERROR   ] discord_bot: Failed to load extension logging
ExtensionFailed: Extension 'cogs.logging' raised an error: TypeError: Invalid permission(s): manage_guilds
[2023-08-28 16:16:43] [INFO    ] discord_bot: Loaded extension 'fun'
[2023-08-28 16:16:44] [INFO    ] discord_bot: Loaded extension 'counting'
[2023-08-28 16:16:44] [INFO    ] discord_bot: Loaded extension 'moderation'
[2023-08-28 16:16:44] [INFO    ] discord_bot: Loaded extension 'owner'
[2023-08-28 16:16:44] [INFO    ] discord_bot: Loaded extension 'general'
[2023-08-28 16:16:46] [INFO    ] discord_bot: Logged in as Owl
[2023-08-28 16:16:46] [INFO    ] discord_bot: discord.py API version: 2.1.1
[2023-08-28 16:16:46] [INFO    ] discord_bot: Python version: 3.10.5
[2023-08-28 16:16:46] [INFO    ] discord_bot: Running on: Darwin 21.6.0 (posix)
[2023-08-28 16:16:46] [INFO    ] discord_bot: -------------------
[2023-08-28 16:16:46] [INFO    ] discord_bot: Syncing commands globally...
